"id","type_name"
"1","唐诗三百首"
"2","写景"
"3","咏物"
"4","春天"
"5","夏天"
"6","秋天"
"7","冬天"
"8","写雨"
"9","写雪"
"10","写风"
"11","写花"
"12","梅花"
"13","荷花"
"14","菊花"
"15","柳树"
"16","山水"
"17","写山"
"18","写水"
"19","长江"
"20","黄河"
"21","写鸟"
"22","田园"
"23","边塞"
"24","地名"
"25","抒情"
"26","爱国"
"27","离别"
"28","送别"
"29","思乡"
"30","思念"
"31","爱情"
"32","励志"
"33","哲理"
"34","闺怨"
"35","悼亡"
"36","写人"
"37","老师"
"38","母亲"
"39","友情"
"40","战争"
"41","惜时"
"42","婉约"
"43","豪放"
"44","民谣"
"45","节日"
"46","春节"
"47","元宵节"
"48","寒食节"
"49","清明节"
"50","七夕节"
"51","中秋节"
"52","重阳节"
"53","忧国忧民"
"54","咏史怀古"
"55","宋词精选"
"56","小学文言文"
"57","诗文"
"58","诗经"
"59","小学古诗"
"60","初中古诗"
"61","高中古诗"
"62","初中文言文"
"63","高中文言文"
"64","古诗十九首"
"65","古诗三百首"
"66","宋词三百首"
"67","古文观止"
"68","词牌"
"70","其他"
