"dynasty_name","id","description"
"先秦","1","先秦，（旧石器时期～公元前221年）是指秦朝建立之前的历史时代，广义先秦指秦朝建立前的所有历史时期，也称为先秦时期。
相传经历了远古文化时期的：有巢氏  、燧人氏、伏羲氏、神农氏（炎帝）  、轩辕氏（黄帝）  、尧、舜、禹等时代 。《先秦史》云：“吾国开化之迹，可征者始于巢、燧、羲、农。”；以考古学为据：如旧石器时代和新石器时代。直到战国时代。 
先秦经历了夏、商、西周，以及春秋、战国等历史阶段。狭义的先秦史研究的范围，包含了中国从进入文明时代直到秦王朝建立这段时间，主要指夏、商、西周、春秋、战国这几个时期的历史。
长达1800多年的历史中，中国的祖先创造了光辉灿烂的历史文明，夏商时期的甲骨文、殷商的青铜器，都是人类文明的历史标志。这一时期的大思想家孔子和其他诸子百家，开创了中国历史上第一次文化学术的繁荣。军事家孙武的《孙子兵法》，仍被广泛应用于军事、经济等领域。屈原是中国历史上的伟大诗人。战国时期的《甘石星经》是世界上最早的恒星表。在这个历史阶段中，中国从分散逐步走向统一。先秦时期，学术思想自由，文化繁荣，产生了诸子百家，诸子如孔子、老子、韩非子、墨子等，百家如儒家、道家、法家、墨家等史称“百家争鸣”。"
"汉代","2","汉朝（公元前202年～公元220年）是继秦朝之后的大一统王朝，分为西汉、东汉时期，共历29帝，享国405年  。
秦末农民起义，刘邦推翻秦后被封为汉王。楚汉争霸，刘邦战胜项羽并称帝建立汉朝，定都长安，史称西汉。汉文帝、汉景帝推行休养生息国策，开创“文景之治”；汉武帝即位后推行推恩令、“罢黜百家，独尊儒术”、加强中央集权，派张骞出使西域沟通中原与西域各国的联系开辟丝绸之路，北击匈奴，东并朝鲜，攘夷扩土成就“汉武盛世”；至汉宣帝时期国力达到极盛，设立西域都护府，将西域纳入版图，开创“孝宣之治”。公元8年王莽废汉孺子，定都长安，史称新莽，西汉灭亡。
公元25年刘秀重建汉朝，定都洛阳，史称东汉。刘秀统一天下后息兵养民，史称“光武中兴”；汉明帝、汉章帝沿袭轻徭薄赋，天下安平、百姓殷富，开创“明章之治”；汉和帝继位后励精图治，选贤纳谏，劳谦有终。军事上迫使匈奴西迁、派班超经营西域、丝绸之路延伸至欧洲。公元100年罗马帝国遣使来朝，东汉国力趋于极盛，史称“永元之隆”  。公元190年，军阀四起，天下大乱。公元220年曹丕篡汉，定都洛阳，史称曹魏，汉朝灭亡。"
"魏晋","3","魏晋时期（220年—420年），指东汉瓦解后，三国到两晋的时期，通常所说的魏晋南北朝时期（公元220年到公元589年）是这段历史的前一阶段。
魏晋中“魏”指的是三国北方政权曹魏，及曹家父子政权，而“晋”指的是司马氏建立的晋朝，东晋时北方正是五胡十六国时期。
魏晋时期，国家政权更替频繁，思想自由开放。文化上得到了巨大的发展，文学、思想、美术、书法、音乐都诞生了影响后世的大家。人们对人物的品评由道德风范转向人物外貌，进而发展到人物的精神气质，文化史上称之为魏晋风流或魏晋风度。
以魏晋风度为开端的儒道互补的士大夫精神，奠定了中国知识分子的人格基础，影响深远。当今的年轻人作为对人生的爱恋，自我的发现与肯定，与魏晋风度的价值观念是类似的。而年轻人在追求行止姿容的漂亮俊逸的个性上，又和魏晋风度的美学观相辅相成。"
"南北朝","4","南北朝（420年～589年  ）是南朝和北朝的统称。南北朝时期中国南方和北方处于分裂状态，自东晋十六国至隋朝，始于420年刘裕建立南朝宋，止于589年隋灭南朝陈。
南朝（420-589）承自东晋，由汉族建立，有南朝宋、南朝齐、南朝梁、南朝陈四朝，均以建康（今江苏南京）为都；北朝（386-581）承自十六国，由鲜卑族建立，有北魏、东魏、西魏、北齐和北周五朝，北魏分裂为东魏、西魏，北齐取代东魏，北周取代西魏，北周灭北齐。出身于北周八柱国之一的李唐宗室修《晋书》奉北朝共为正统，司马光的《资治通鉴》则奉南朝为正统。
南北朝前期仍是世族政治，社会阶层分为世族、齐民编户、依附户及奴婢，对外交流也很兴旺，东到日本和朝鲜半岛，西到西域、中亚、西亚，南到东南亚与南亚。此时也出现民族大融合的趋势，比如北魏孝文帝改革，进一步加速少数民族汉化的步伐，在北魏孝文帝以后，北朝官制模仿南朝，并沿至唐代"
"隋代","5","隋朝（581年～618年）是中国历史上承南北朝，下启唐朝的大统一朝代，享国三十七年。 
公元581年二月，北周静帝禅让于丞相杨坚，北周覆亡。隋文帝杨坚定国号为“隋”，定都大兴城（今陕西省西安市）。公元589年，隋军南下灭陈朝，统一中国，结束了自西晋末年以来中国长达近300年的分裂局面。隋文帝励精图治，开创了开皇之治繁荣局面。
公元604年，隋炀帝杨广即位营建东都（今河南省洛阳市），  又修建贯通南北的大运河，开创了万国来朝的“大业盛世”。  然而内外举措过度消耗国力，引发隋末民变。618年宇文化及等人在外发动兵变杀死隋炀帝；李渊逼杨侑禅让，国号“唐”。619年王世充逼杨侗禅位，国号“郑”，  隋朝彻底灭亡。 
隋朝在政治、经济、文化和外交等领域进行大改革。政治初创三省六部制，巩固中央集权，正式推行科举制，选拔优秀人才，弱化世族垄断仕官的现象，建立政事堂议事制、监察制、考绩制，强化了政府机制，根据南北朝的经验改革政治，兴建隋唐大运河以及驰道改善水陆交通线。  军事上继续推行完善府兵制，经济上实行均田制并改定赋役，减轻农民生产压力，又采取大索貌阅和输籍定样等清查户口措施增加财政收入。"
"唐代","6","唐朝（618年—907年），是继隋朝之后的大一统中原王朝，共历二十一帝，享国二百八十九年。
隋末天下群雄并起，617年唐国公李渊于晋阳起兵，次年称帝建立唐朝，定都长安。唐太宗继位后开创贞观之治，为盛唐奠定基础。唐高宗承贞观遗风开创“永徽之治”，并于657年建东都洛阳 。690年，武则天改国号为周， 705年神龙革命后，恢复唐国号。 唐玄宗即位后缔造全盛的开元盛世， 天宝末全国人口达八千万左右。 安史之乱后藩镇割据、宦官专权导致国力渐衰；中后期经唐宪宗元和中兴、唐武宗会昌中兴、唐宣宗大中之治国势复振。878年爆发黄巢起义破坏了唐朝统治根基，907年朱温篡唐，唐朝覆亡。
唐朝时万国来朝， 疆域空前辽阔，极盛时东起日本海、南据安南、西抵咸海、北逾贝加尔湖，是中国自秦以来第一个未修拒胡长城的大一统王朝。 唐朝攻灭东突厥、薛延陀后，唐太宗被四夷各族尊为天可汗 。又借羁縻制度征调突厥、回鹘、铁勒、契丹、靺鞨、室韦等民族攻伐敌国，并让日本、南诏、新罗、渤海国等藩属国学习自身的文化与制度。
唐朝接纳各国交流学习，经济、社会、文化、艺术呈现出多元化、开放性等特点 ，诗、书、画、乐等方面涌现出大量名家，如诗仙李白、诗圣杜甫、诗魔白居易，书法家颜真卿，画圣吴道子，音乐家李龟年等。"
"五代","7","五代（907年—960年）。唐朝灭亡之后，在中原地区相继出现了定都于开封和洛阳的后梁、后唐、后晋、后汉和后周五个朝代以及割据于西蜀、江南、岭南和河东的前蜀、后蜀、南吴（杨吴）、南唐、吴越、闽国、南楚（马楚）、南汉、南平（荆南）、北汉等10个政权，合称五代十国。五代指这五个位于中原的王朝，正统史学家们一般称五代为中原王朝，十国为割据政权。"
"宋代","8","宋朝（960年—1279年）是中国历史上承五代十国下启元朝的朝代，分北宋和南宋两个阶段，共历十八帝，享国三百一十九年。 
960年，后周诸将发动陈桥兵变，拥立宋州归德军节度使赵匡胤为帝，建立宋朝。  赵匡胤为避免晚唐藩镇割据和宦官专权乱象，采取重文抑武方针，加强中央集权，并剥夺武将兵权。宋太宗继位后统一全国，宋真宗与辽国缔结澶渊之盟后逐渐步入治世。1125年金国大举南侵，导致靖康之耻，北宋灭亡。康王赵构于南京应天府即位，建立了南宋。绍兴和议后与金国以秦岭-淮河为界，1234年联蒙灭金，1235年爆发宋元战争，1276年元朝攻占临安，崖山海战后，南宋灭亡。 
宋朝是中国历史上商品经济、文化教育、科学创新高度繁荣的时代。  有人推算，1000年中国GDP总量为265.5亿美元，占世界经济总量的22.7%，人均GDP为450美元，超过当时西欧的400美元。 
宋朝时期，儒学复兴，出现程朱理学，科技发展迅速，政治开明，且没有严重的宦官专权和军阀割据，兵变、民乱次数与规模在中国历史上也相对较少。北宋因推广占城稻人口迅速增长，从980年的3710万增至1124年的12600万。 
陈寅恪言：“华夏民族之文化，历数千载之演进，造极于赵宋之世。  ”西方与日本史学界中亦有学者认为宋朝是中国历史上的文艺复兴与经济革命的时期。"
"金朝","9","金朝（1115年-1234年），是中国历史上由女真族建立的统治中国北方和东北地区的封建王朝，完颜阿骨打（完颜旻）所建。西与西夏、蒙古等接壤，南与南宋对峙。共传十帝，享国119年。 
金太祖完颜阿骨打（完颜旻）统一女真诸部后起兵反辽。1115年在上京会宁府（今黑龙江省哈尔滨市阿城区  ）立国，国号金，建元“收国”。  1125年灭辽朝，1127年又发动靖康之变灭北宋。1130年，宋高宗赵构向金帝上降表称臣。  1153年，海陵王完颜亮迁都中都（今北京）。金世宗、金章宗统治时期政治文化达到巅峰，金章宗在位后期急剧由盛转衰。金宣宗继位后，内部政治腐败、民不聊生，外受大蒙古国南侵，被迫迁都汴京（今河南开封）。  1234年，金在南宋和蒙古南北夹击下覆亡于蔡州。
金朝奠定了中国北方的疆域，对于确定后来中国北方的版图起到了奠基性作用。  金朝鼎盛时期疆域包括东北、华北、关中以及俄罗斯远东地区。南至大散关至淮河一线，与南宋对峙；西北与西夏并立；东北地区达外兴安岭，东临日本海。"
"元代","10","元朝（1271年—1368年  ），是中国历史上首次由少数民族建立的大一统王朝，统治者为蒙古孛儿只斤氏。传五世十一帝，从1206年成吉思汗建立蒙古政权始为162年，从忽必烈定国号元开始历时98年。  元朝退出中原后的北元政权一直持续到1402年。
1206年，成吉思汗统一蒙古各部，建立大蒙古国。先后攻灭西辽、西夏、花剌子模、金朝等政权。蒙哥汗去世后，引发了阿里不哥与忽必烈的汗位之争，促使大蒙古国分裂。1260年忽必烈即位称帝，建元“中统”，定都开平府（上都）。  1271年，忽必烈取《易经》“大哉乾元”之意改国号为“大元”，次年定都大都。1279年，彻底灭亡南宋流亡政权，结束了自唐末以来长期的混乱局面。  之后元朝持续对外扩张，进攻日本、缅甸、越南、爪哇等，但均遭失败。元朝中期皇位继承紊乱、政变频繁，政治始终未上正轨，而且汉化迟滞，发展不前。后期政治腐败，权臣干政，民族矛盾与阶级矛盾日益加剧，导致元末农民起义。  1368年，朱元璋建立明朝，随后北伐驱逐元廷攻占大都。此后元廷退居漠北，史称北元。1402年，元臣鬼力赤篡夺政权建立鞑靼，北元灭亡。"
