"type_name","id"
"唐诗三百首","1"
"写景","2"
"咏物","3"
"春天","4"
"夏天","5"
"秋天","6"
"冬天","7"
"写雨","8"
"写雪","9"
"写风","10"
"写花","11"
"梅花","12"
"荷花","13"
"菊花","14"
"柳树","15"
"山水","16"
"写山","17"
"写水","18"
"长江","19"
"黄河","20"
"写鸟","21"
"田园","22"
"边塞","23"
"地名","24"
"抒情","25"
"爱国","26"
"离别","27"
"送别","28"
"思乡","29"
"思念","30"
"爱情","31"
"励志","32"
"哲理","33"
"闺怨","34"
"悼亡","35"
"写人","36"
"老师","37"
"母亲","38"
"友情","39"
"战争","40"
"惜时","41"
"婉约","42"
"豪放","43"
"民谣","44"
"节日","45"
"春节","46"
"元宵节","47"
"寒食节","48"
"清明节","49"
"七夕节","50"
"中秋节","51"
"重阳节","52"
"忧国忧民","53"
"咏史怀古","54"
"宋词精选","55"
"小学文言文","56"
"诗文","57"
"诗经","58"
"小学古诗","59"
"初中古诗","60"
"高中古诗","61"
"初中文言文","62"
"高中文言文","63"
"古诗十九首","64"
"古诗三百首","65"
"宋词三百首","66"
"古文观止","67"
"词牌","68"
"其他","70"
